#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Host organism	Identification method participant A	Identification method participant B
uniprot:Q92796	uniprot:Q00960	uniprot:Q5JUW6|uniprot:B4E0H1|uniprot:Q5JUW7|uniprot:Q9ULI8|uniprot:D3DVU5	uniprot:Q9UM56|uniprot:Q12919|uniprot:Q13220|uniprot:Q14CU4|uniprot:Q13225|uniprot:Q13224	psi-mi:"MI:0107"(surface plasmon resonance)	Masuko et al. 1999	pubmed:10026200	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0407"(direct interaction)	PSINDB	730729	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	in vitro	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P78352	uniprot:Q92796	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941	uniprot:Q5JUW6|uniprot:B4E0H1|uniprot:Q92796|uniprot:Q5JUW7|uniprot:Q9ULI8|uniprot:D3DVU5	psi-mi:"MI:0096"(pull down)	Masuko et al. 1999	pubmed:10026200	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0914"(association)	PSINDB	730730	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	COS7	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0113"(western blot)
uniprot:Q92796	uniprot:P78352	uniprot:Q5JUW6|uniprot:B4E0H1|uniprot:Q5JUW7|uniprot:Q9ULI8|uniprot:D3DVU5	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	psi-mi:"MI:0018"(two hybrid)	Masuko et al. 1999	pubmed:10026200	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730731	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	yeast	psi-mi:"MI:0078"(nucleotide sequence identification)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprot:P31016	uniprot:P63142	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	uniprot:Q86XG6|uniprot:A0A024R0D3|uniprot:P16389|uniprot:A8K1Z6	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Rasband et al. 2002	pubmed:12438413	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730732	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	rat brain membrane	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P31016	uniprot:P63142	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	uniprot:Q86XG6|uniprot:A0A024R0D3|uniprot:P16389|uniprot:A8K1Z6	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Rasband et al. 2002	pubmed:12438413	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730733	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	rat spinal cord membrane	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:P63142	uniprot:P31016	uniprot:Q86XG6|uniprot:A0A024R0D3|uniprot:P16389|uniprot:A8K1Z6	uniprot:B7Z1S1|uniprot:Q9UKK8|uniprot:G5E939|uniprot:Q92941|uniprot:P78352	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Rasband et al. 2002	pubmed:12438413	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730734	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	rat brain membrane	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9CPW0	uniprot:P63141	uniprot:Q52LV1|uniprot:Q14DG2|uniprot:D3DWG2|uniprot:Q5H9Q7|uniprot:Q9UQ12|uniprot:Q9UHC6	uniprot:Q86XG6|uniprot:A0A024R0D3|uniprot:P16389|uniprot:A8K1Z6	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Rasband et al. 2002	pubmed:12438413	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730735	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	mouse brain	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q9CPW0	uniprot:P63141	uniprot:Q52LV1|uniprot:Q14DG2|uniprot:D3DWG2|uniprot:Q5H9Q7|uniprot:Q9UQ12|uniprot:Q9UHC6	uniprot:Q86XG6|uniprot:A0A024R0D3|uniprot:P16389|uniprot:A8K1Z6	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Rasband et al. 2002	pubmed:12438413	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730736	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	PSD-95 mutant mouse brain	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q62765	uniprot:O88382	uniprot:Q9UPT2|uniprot:Q8N2Q7|uniprot:D2X2H5	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730737	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	COS7	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0396"(predetermined participant)
uniprot:Q62765	uniprot:O88382	uniprot:Q9UPT2|uniprot:Q8N2Q7|uniprot:D2X2H5	uniprot:A4D1C1|uniprot:Q9UDQ5|uniprot:Q86UL8|uniprot:A7E2C3|uniprot:Q9NP44|uniprot:O60510|uniprot:O60434|uniprot:Q9UDU1|uniprot:Q86UI7	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Iida et al. 2004	pubmed:15555927	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	PSINDB	730738	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	COS7	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0396"(predetermined participant)
