ID Interactor A	ID Interactor B	PSINDB Mapping A	PSINDB Mapping B	Interaction Detection Method	Publication Identifier	Taxid Interactor A	Taxid Interactor B	Host organism	Interaction Types	Biological Role Interactor A	Biological Role Interactor B	Experimental Role Interactor A	Experimental Role Interactor B	Feature interactor A	Feature interactor B	Source Database	Interaction Identifier
uniprot:Q92796	uniprot:Q00960	DLG3_HUMAN	NMDE2_HUMAN	psi-mi:mi:0107(surface plasmon resonance)	pubmed:10026200	taxid:9606(human)	taxid:10116(rat)	taxid:-1(in vitro)	psi-mi:mi:0407(direct interaction)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:1-818	binding-associated region:1468-1482	PSINDB	PSINDB:1
uniprot:P78352	uniprot:Q92796	DLG4_HUMAN	DLG3_HUMAN	psi-mi:mi:0096(pull down)	pubmed:10026200	taxid:9606(human)	taxid:9606(human)	taxid:9534(COS7)	psi-mi:mi:0914(association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:440-724	binding-associated region:1-625	PSINDB	PSINDB:2
uniprot:Q92796	uniprot:P78352	DLG3_HUMAN	DLG4_HUMAN	psi-mi:mi:0018(two hybrid)	pubmed:10026200	taxid:9606(human)	taxid:9606(human)	taxid:559292(yeast)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)	binding-associated region:1-818	binding-associated region:440-724	PSINDB	PSINDB:3
uniprot:P31016	uniprot:P63142	DLG4_HUMAN	KCNA2_HUMAN	psi-mi:mi:0006(anti bait coimmunoprecipitation)	pubmed:12438413	taxid:10116(rat)	taxid:10116(rat)	taxid:10116(rat)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:4
uniprot:P31016	uniprot:P63142	DLG4_HUMAN	KCNA2_HUMAN	psi-mi:mi:0006(anti bait coimmunoprecipitation)	pubmed:12438413	taxid:10116(rat)	taxid:10116(rat)	taxid:10116(rat)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:5
uniprot:P63142	uniprot:P31016	KCNA2_HUMAN	DLG4_HUMAN	psi-mi:mi:0006(anti bait coimmunoprecipitation)	pubmed:12438413	taxid:10116(rat)	taxid:10116(rat)	taxid:10116(rat)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)			PSINDB	PSINDB:6
uniprot:Q9CPW0	uniprot:P63141	CNTP2_HUMAN	KCNA2_HUMAN	psi-mi:mi:0006(anti bait coimmunoprecipitation)	pubmed:12438413	taxid:10090(mouse)	taxid:10090(mouse)	taxid:10090(mouse)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)			PSINDB	PSINDB:7
uniprot:Q9CPW0	uniprot:P63141	CNTP2_HUMAN	KCNA2_HUMAN	psi-mi:mi:0006(anti bait coimmunoprecipitation)	pubmed:12438413	taxid:10090(mouse)	taxid:10090(mouse)	taxid:10090(mouse)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)			PSINDB	PSINDB:8
uniprot:Q62765	uniprot:O88382	NLGN1_HUMAN	MAGI2_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)	binding-associated region:44-843	binding-associated region:1-1277	PSINDB	PSINDB:9
uniprot:Q62765	uniprot:O88382	NLGN1_HUMAN	MAGI2_HUMAN	psi-mi:mi:0007(anti tag coimmunoprecipitation)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0496(bait)	psi-mi:mi:0498(prey)	binding-associated region:44-843	binding-associated region:295-578	PSINDB	PSINDB:10
uniprot:Q62765	uniprot:O88382	NLGN1_HUMAN	MAGI2_HUMAN	psi-mi:mi:0096(pull down)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:44-843	binding-associated region:303-405	PSINDB	PSINDB:11
uniprot:Q62765	uniprot:O88382	NLGN1_HUMAN	MAGI2_HUMAN	psi-mi:mi:0096(pull down)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:44-843	binding-associated region:295-578	PSINDB	PSINDB:12
uniprot:Q62765	uniprot:O88382	NLGN1_HUMAN	MAGI2_HUMAN	psi-mi:mi:0096(pull down)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:44-839	binding-associated region:295-578	PSINDB	PSINDB:13
uniprot:Q62765	uniprot:O88382	NLGN1_HUMAN	MAGI2_HUMAN	psi-mi:mi:0096(pull down)	pubmed:15555927	taxid:10116(rat)	taxid:10116(rat)	taxid:9534(COS7)	psi-mi:mi:0915(physical association)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0499(unspecified role)	psi-mi:mi:0498(prey)	psi-mi:mi:0496(bait)	binding-associated region:718-843	binding-associated region:303-405	PSINDB	PSINDB:14
